PLAY #,HF 1ª o 2ª parte ,SERIES oportunidades,DN oportunidades,DISTANCIA,YARD LN,RESULT,PI,PC,GN/LS,PLAY DIR,PASS ZONE,COVERAGE,BLZ_Jersey,BLZ_Name,RIVAL_CAN,RIVAL_FRA,RIVAL_ITA,RIVAL_NZL,RIVAL_SUI,RIVAL_SUIZA,RIVAL_USA,ODK ofensiva/ defensiva/ jugadas extras_K,ODK ofensiva/ defensiva/ jugadas extras_O,ODK ofensiva/ defensiva/ jugadas extras_S,OFF FORM_ARROW,OFF FORM_BUNCH,OFF FORM_DOBLE TIGHT,OFF FORM_DOBLES,OFF FORM_I,OFF FORM_ISO,OFF FORM_SLOT,OFF FORM_SLOT TIGHT,OFF FORM_SPREAD BUNCH,OFF FORM_TIGHT,OFF FORM_TRIPS,OFF FORM_TRIPS TIGHT,OFF FORM_USA,OFF STR_L,OFF STR_R,PLAY TYPE_2 Pt. Defend,PLAY TYPE_Extra Pt.,PLAY TYPE_Extra Pt. Block,PLAY TYPE_Pass,PLAY TYPE_Run,quarter,down,field_zone_Red Zone,play_result_category_Turnover
1,1,1,1.0,20.0,-5.0,Complete,1.0,1.0,8.0,L,2.0,REGULAR,1.0,María Vidal,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1.0,True,False
2,1,1,2.0,12.0,-13.0,Complete,1.0,1.0,8.0,L,1.0,REGULAR,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,2.0,True,False
3,1,1,3.0,4.0,-21.0,1st DN,1.0,1.0,10.0,L,2.0,REGULAR,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,3.0,True,False
4,1,1,1.0,10.0,19.0,Complete,1.0,1.0,7.0,L,1.0,DALLAS,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1.0,True,False
5,1,1,2.0,12.0,12.0,Complete,1.0,1.0,4.0,L,1.0,REGULAR,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,2.0,True,False
6,1,1,3.0,8.0,8.0,"Rush, TD",,,8.0,R,,REGULAR,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,1,3.0,True,False
7,1,1,0.0,5.0,5.0,Good,1.0,1.0,5.0,L,2.0,REGULAR,,,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1,0.0,True,False
8,1,1,1.0,20.0,-5.0,Incomplete,1.0,0.0,0.0,L,1.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1.0,True,False
9,1,1,2.0,20.0,-5.0,Complete,1.0,1.0,11.0,L,2.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,2.0,True,False
10,1,1,3.0,9.0,-16.0,1st DN,1.0,1.0,13.0,L,4.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,3.0,True,False
11,1,1,1.0,21.0,21.0,Complete,1.0,1.0,9.0,R,2.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1.0,False,False
12,1,1,2.0,12.0,12.0,Incomplete,1.0,0.0,0.0,R,3.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,2.0,True,False
13,1,1,3.0,12.0,12.0,Incomplete,1.0,0.0,0.0,R,6.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,3.0,True,False
14,1,1,4.0,12.0,12.0,Incomplete,1.0,0.0,0.0,R,8.0,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,4.0,True,False
15,1,2,1.0,20.0,-5.0,Complete,1.0,1.0,9.0,L,1.0,REGULAR,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1.0,True,False
16,1,2,2.0,11.0,-14.0,Complete,1.0,1.0,7.0,L,1.0,DALLAS,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,2,2.0,True,False
17,1,2,3.0,4.0,-21.0,1st DN,1.0,1.0,14.0,L,1.0,REGULAR,1.0,María Vidal,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2,3.0,True,False
